Gait cycle [%],C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML
 ,POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m],POST(-)/ANT(+) [m],DOWN(-)/UP(+) [m],LEFT(-)/RIGHT(+) [m]
-50,-0.424799505,-0.016741386,-0.013729901,-0.430107129,-0.013577723,0.00818901,-0.451251881,-0.017500693,-0.008902574,-0.428975941,-0.011348119,-0.006888119,-0.449820297,-0.014315446,-0.006170594,-0.422726634,-0.01073,-0.007147525,-0.462911089,-0.016770198,0.001856238,-0.454469406,-0.012964257,-0.023808218,-0.476056238,-0.012173366,-0.006234554,-0.469302574,-0.009486832,-0.016992376,-0.503489505,-0.012841188,-0.009407624,-0.460949208,-0.012388416,-0.017690297,-0.456342574,-0.015034257,-0.015166733,-0.447672079,-0.012487129,-0.012494653,-0.414925743,-0.012999307,-0.027910297,-0.403334356,-0.014639406,-0.012577624,-0.419423564,-0.007845644,-0.006549109,-0.383386337,-0.013873663,-0.018550891,-0.398255842,-0.011812376,-0.015041386,-0.38609703,-0.007619406,-0.006116337,-0.461427327,-0.014760891,0.004227327,-0.44161,-0.010743861,-0.002879208,-0.493736337,-0.01552099,-0.027125347,-0.483421188,-0.017043861,0.007381683,-0.460565644,-0.015430594,-0.015511089,-0.451656634,-0.011572871,-0.013634851,-0.455686634,-0.011026535,-0.020303366,-0.418876337,-0.012819604,-0.006516535,-0.44123,-0.010434752,-0.007574455,-0.419647228,-0.010142178,-0.009651584,-0.42486505,-0.011120099,-0.01109604,-0.456135842,-0.012370396,-0.003911683,-0.438463762,-0.010223564,-0.011443663,-0.432538812,-0.012595347,0.005613861,-0.438154356,-0.011259901,-0.000465644,-0.321895743,-0.008622871,-0.017671683,-0.329299109,-0.005896139,-0.008507228,-0.326553762,-0.008717129,-0.016232376,-0.419464752,-0.012003069,-0.013238317,-0.404289901,-0.012299802,-0.006921188,-0.39612802,-0.010751782,-0.001897525
-49,-0.415349505,-0.017971386,-0.011029901,-0.420857129,-0.014757723,0.01031901,-0.441261881,-0.018330693,-0.006242574,-0.419855941,-0.012558119,-0.004838119,-0.440200297,-0.015155446,-0.004300594,-0.413696634,-0.01169,-0.005227525,-0.453101089,-0.017380198,0.003716238,-0.444769406,-0.013934257,-0.021618218,-0.466206238,-0.013503366,-0.004854554,-0.459002574,-0.011006832,-0.015192376,-0.492869505,-0.014541188,-0.007617624,-0.451079208,-0.013548416,-0.015600297,-0.446622574,-0.016364257,-0.012926733,-0.438232079,-0.013977129,-0.010604653,-0.406285743,-0.014139307,-0.025590297,-0.394444356,-0.015759406,-0.010277624,-0.410523564,-0.009335644,-0.004939109,-0.375806337,-0.014453663,-0.016320891,-0.390075842,-0.012832376,-0.012951386,-0.37809703,-0.008799406,-0.004436337,-0.451457327,-0.015690891,0.005787327,-0.43231,-0.012053861,-0.001429208,-0.483636337,-0.01628099,-0.024985347,-0.473181188,-0.018253861,0.009321683,-0.450875644,-0.016160594,-0.013411089,-0.442516634,-0.012412871,-0.011924851,-0.446106634,-0.012206535,-0.018643366,-0.409986337,-0.013589604,-0.004586535,-0.43182,-0.011434752,-0.006034455,-0.410587228,-0.011332178,-0.007961584,-0.41605505,-0.011890099,-0.00962604,-0.446445842,-0.013070396,-0.002421683,-0.429103762,-0.011423564,-0.009973663,-0.423498812,-0.013405347,0.007153861,-0.429014356,-0.012029901,0.000804356,-0.315315743,-0.009762871,-0.015971683,-0.322609109,-0.007096139,-0.006767228,-0.319803762,-0.009787129,-0.014422376,-0.410904752,-0.012433069,-0.011728317,-0.395679901,-0.012609802,-0.005391188,-0.38778802,-0.011261782,-0.000347525
-48,-0.405789505,-0.018811386,-0.008249901,-0.411527129,-0.015667723,0.01253901,-0.431271881,-0.018770693,-0.003512574,-0.410705941,-0.013468119,-0.002778119,-0.430510297,-0.015665446,-0.002470594,-0.404626634,-0.01233,-0.003287525,-0.443251089,-0.017640198,0.005556238,-0.435009406,-0.014614257,-0.019418218,-0.456266238,-0.014633366,-0.003404554,-0.448712574,-0.012406832,-0.013292376,-0.482229505,-0.016031188,-0.005757624,-0.441209208,-0.014418416,-0.013480297,-0.436862574,-0.017344257,-0.010636733,-0.428822079,-0.015217129,-0.008654653,-0.397625743,-0.014979307,-0.023230297,-0.385574356,-0.016469406,-0.007987624,-0.401643564,-0.010615644,-0.003249109,-0.368196337,-0.014753663,-0.014060891,-0.381885842,-0.013542376,-0.010861386,-0.37008703,-0.009779406,-0.002696337,-0.441447327,-0.016320891,0.007367327,-0.423,-0.013133861,9.07921E-05,-0.473486337,-0.01672099,-0.022905347,-0.462921188,-0.019103861,0.011201683,-0.441155644,-0.016540594,-0.011291089,-0.433336634,-0.012972871,-0.010224851,-0.436486634,-0.013166535,-0.016913366,-0.401086337,-0.014129604,-0.002636535,-0.42236,-0.012244752,-0.004424455,-0.401517228,-0.012262178,-0.006241584,-0.40720505,-0.012440099,-0.00811604,-0.436685842,-0.013460396,-0.000921683,-0.419763762,-0.012393564,-0.008433663,-0.414408812,-0.013935347,0.008713861,-0.419834356,-0.012579901,0.002094356,-0.308665743,-0.010622871,-0.014241683,-0.315899109,-0.008086139,-0.005047228,-0.313013762,-0.010627129,-0.012542376,-0.402354752,-0.012613069,-0.010188317,-0.387099901,-0.012689802,-0.003851188,-0.37948802,-0.011521782,0.001222475
-47,-0.396119505,-0.019221386,-0.005429901,-0.402117129,-0.016237723,0.01481901,-0.421271881,-0.018800693,-0.000772574,-0.401505941,-0.014038119,-0.000728119,-0.420770297,-0.015825446,-0.000700594,-0.395516634,-0.01262,-0.001327525,-0.433381089,-0.017540198,0.007346238,-0.425209406,-0.014984257,-0.017238218,-0.446256238,-0.015503366,-0.001914554,-0.438432574,-0.013636832,-0.011302376,-0.471559505,-0.017271188,-0.003857624,-0.431329208,-0.014978416,-0.011320297,-0.427052574,-0.017924257,-0.008326733,-0.419432079,-0.016147129,-0.006674653,-0.388935743,-0.015479307,-0.020840297,-0.376744356,-0.016759406,-0.005737624,-0.392753564,-0.011625644,-0.001469109,-0.360576337,-0.014743663,-0.011780891,-0.373685842,-0.013922376,-0.008761386,-0.36205703,-0.010509406,-0.000906337,-0.431397327,-0.016610891,0.008947327,-0.41366,-0.013943861,0.001630792,-0.463296337,-0.01682099,-0.020885347,-0.452641188,-0.019563861,0.012991683,-0.431395644,-0.016570594,-0.009171089,-0.424116634,-0.013212871,-0.008544851,-0.426836634,-0.013846535,-0.015133366,-0.392186337,-0.014409604,-0.000676535,-0.41286,-0.012814752,-0.002774455,-0.392427228,-0.012912178,-0.004531584,-0.39831505,-0.012730099,-0.00658604,-0.426845842,-0.013520396,0.000548317,-0.410393762,-0.013073564,-0.006823663,-0.405288812,-0.014155347,0.010293861,-0.410614356,-0.012889901,0.003404356,-0.301955743,-0.011162871,-0.012511683,-0.309179109,-0.008826139,-0.003367228,-0.306183762,-0.011197129,-0.010632376,-0.393824752,-0.012543069,-0.008638317,-0.378539901,-0.012529802,-0.002321188,-0.37121802,-0.011551782,0.002792475
-46,-0.386379505,-0.019171386,-0.002599901,-0.392627129,-0.016437723,0.01710901,-0.411291881,-0.018420693,0.001947426,-0.392275941,-0.014238119,0.001261881,-0.411020297,-0.015665446,0.000989406,-0.386386634,-0.01254,0.000632475,-0.423511089,-0.017110198,0.009076238,-0.415369406,-0.015024257,-0.015108218,-0.436186238,-0.016063366,-0.000384554,-0.428142574,-0.014646832,-0.009252376,-0.460849505,-0.018211188,-0.001927624,-0.421449208,-0.015218416,-0.009170297,-0.417222574,-0.018084257,-0.006016733,-0.410032079,-0.016717129,-0.004684653,-0.380225743,-0.015629307,-0.018470297,-0.367994356,-0.016619406,-0.003527624,-0.383863564,-0.012305644,0.000350891,-0.352926337,-0.014443663,-0.009520891,-0.365475842,-0.013962376,-0.006671386,-0.35401703,-0.010959406,0.000893663,-0.421327327,-0.016570891,0.010497327,-0.4043,-0.014443861,0.003180792,-0.453096337,-0.01660099,-0.018955347,-0.442381188,-0.019643861,0.014671683,-0.421635644,-0.016250594,-0.007061089,-0.414866634,-0.013162871,-0.006914851,-0.417156634,-0.014226535,-0.013333366,-0.383276337,-0.014429604,0.001263465,-0.4033,-0.013114752,-0.001094455,-0.383347228,-0.013252178,-0.002831584,-0.38936505,-0.012760099,-0.00504604,-0.416955842,-0.013260396,0.001968317,-0.400983762,-0.013423564,-0.005193663,-0.396138812,-0.014055347,0.011873861,-0.401354356,-0.012939901,0.004714356,-0.295195743,-0.011382871,-0.010791683,-0.302459109,-0.009296139,-0.001747228,-0.299323762,-0.011477129,-0.008702376,-0.385324752,-0.012223069,-0.007078317,-0.370009901,-0.012159802,-0.000791188,-0.36296802,-0.011351782,0.004362475
-45,-0.376589505,-0.018671386,0.000220099,-0.383087129,-0.016247723,0.01938901,-0.401341881,-0.017660693,0.004587426,-0.383035941,-0.014078119,0.003201881,-0.401280297,-0.015215446,0.002589406,-0.377266634,-0.01212,0.002592475,-0.413671089,-0.016390198,0.010736238,-0.405509406,-0.014764257,-0.013028218,-0.426056238,-0.016293366,0.001165446,-0.417862574,-0.015376832,-0.007152376,-0.450099505,-0.018821188,-7.62376E-06,-0.411569208,-0.015118416,-0.007020297,-0.407372574,-0.017844257,-0.003736733,-0.400652079,-0.016917129,-0.002724653,-0.371525743,-0.015419307,-0.016120297,-0.359334356,-0.016089406,-0.001367624,-0.374973564,-0.012605644,0.002180891,-0.345276337,-0.013873663,-0.007260891,-0.357275842,-0.013692376,-0.004591386,-0.34596703,-0.011129406,0.002693663,-0.411247327,-0.016220891,0.012017327,-0.39493,-0.014633861,0.004690792,-0.442906337,-0.01609099,-0.017115347,-0.432141188,-0.019363861,0.016221683,-0.411875644,-0.015630594,-0.004951089,-0.405596634,-0.012852871,-0.005324851,-0.407456634,-0.014276535,-0.011523366,-0.374366337,-0.014189604,0.003173465,-0.3937,-0.013134752,0.000605545,-0.374287228,-0.013302178,-0.001161584,-0.38038505,-0.012530099,-0.00350604,-0.407055842,-0.012720396,0.003328317,-0.391533762,-0.013403564,-0.003573663,-0.386978812,-0.013665347,0.013423861,-0.392084356,-0.012749901,0.006014356,-0.288425743,-0.011282871,-0.009081683,-0.295759109,-0.009506139,-0.000167228,-0.292463762,-0.011467129,-0.006752376,-0.376844752,-0.011673069,-0.005518317,-0.361489901,-0.011569802,0.000698812,-0.35474802,-0.010921782,0.005912475
-44,-0.366779505,-0.017761386,0.002980099,-0.373517129,-0.015677723,0.02163901,-0.391451881,-0.016600693,0.007137426,-0.373815941,-0.013588119,0.005081881,-0.391590297,-0.014525446,0.004089406,-0.368176634,-0.0114,0.004552475,-0.403851089,-0.015420198,0.012326238,-0.395649406,-0.014214257,-0.011038218,-0.415896238,-0.016183366,0.002705446,-0.407552574,-0.015786832,-0.005052376,-0.439329505,-0.019101188,0.001872376,-0.401709208,-0.014718416,-0.004900297,-0.397522574,-0.017224257,-0.001486733,-0.391292079,-0.016767129,-0.000794653,-0.362835743,-0.014899307,-0.013810297,-0.350784356,-0.015219406,0.000732376,-0.366093564,-0.012535644,0.004010891,-0.337616337,-0.013063663,-0.005040891,-0.349105842,-0.013132376,-0.002521386,-0.33791703,-0.011029406,0.004493663,-0.401197327,-0.015590891,0.013497327,-0.38558,-0.014503861,0.006150792,-0.432736337,-0.01533099,-0.015345347,-0.421971188,-0.018763861,0.017641683,-0.402145644,-0.014750594,-0.002841089,-0.396316634,-0.012312871,-0.003764851,-0.397756634,-0.014016535,-0.009703366,-0.365446337,-0.013729604,0.005043465,-0.38407,-0.012884752,0.002305545,-0.365257228,-0.013072178,0.000468416,-0.37137505,-0.012060099,-0.00197604,-0.397165842,-0.011940396,0.004628317,-0.382053762,-0.013043564,-0.001993663,-0.377808812,-0.012995347,0.014953861,-0.382794356,-0.012329901,0.007274356,-0.281665743,-0.010902871,-0.007351683,-0.289089109,-0.009466139,0.001372772,-0.285603762,-0.011207129,-0.004792376,-0.368394752,-0.010933069,-0.003968317,-0.352979901,-0.010799802,0.002148812,-0.34653802,-0.010291782,0.007432475
-43,-0.356989505,-0.016501386,0.005680099,-0.363937129,-0.014757723,0.02382901,-0.381631881,-0.015290693,0.009577426,-0.364615941,-0.012788119,0.006921881,-0.381960297,-0.013635446,0.005519406,-0.359116634,-0.01042,0.006502475,-0.394101089,-0.014270198,0.013836238,-0.385809406,-0.013414257,-0.009118218,-0.405726238,-0.015743366,0.004235446,-0.397242574,-0.015856832,-0.002962376,-0.428549505,-0.019041188,0.003702376,-0.391859208,-0.014028416,-0.002830297,-0.387702574,-0.016284257,0.000713267,-0.381972079,-0.016287129,0.001085347,-0.354175743,-0.014099307,-0.011550297,-0.342334356,-0.014069406,0.002792376,-0.357223564,-0.012125644,0.005810891,-0.329946337,-0.012053663,-0.002840891,-0.340955842,-0.012332376,-0.000451386,-0.32989703,-0.010679406,0.006263663,-0.391197327,-0.014730891,0.014937327,-0.37628,-0.014093861,0.007550792,-0.422616337,-0.01433099,-0.013665347,-0.411871188,-0.017873861,0.018941683,-0.392435644,-0.013650594,-0.000761089,-0.387036634,-0.011602871,-0.002244851,-0.388056634,-0.013446535,-0.007903366,-0.356546337,-0.013049604,0.006863465,-0.37441,-0.012384752,0.004005545,-0.356267228,-0.012572178,0.002058416,-0.36234505,-0.011360099,-0.00047604,-0.387305842,-0.010990396,0.005878317,-0.372583762,-0.012383564,-0.000473663,-0.368638812,-0.012085347,0.016433861,-0.373504356,-0.011709901,0.008514356,-0.274915743,-0.010292871,-0.005581683,-0.282449109,-0.009186139,0.002892772,-0.278753762,-0.010707129,-0.002822376,-0.359984752,-0.010023069,-0.002438317,-0.344489901,-0.009859802,0.003548812,-0.33835802,-0.009491782,0.008912475
-42,-0.347239505,-0.014951386,0.008270099,-0.354377129,-0.013527723,0.02594901,-0.371861881,-0.013810693,0.011887426,-0.355455941,-0.011748119,0.008731881,-0.372390297,-0.012605446,0.006879406,-0.350116634,-0.00927,0.008432475,-0.384401089,-0.012990198,0.015256238,-0.376019406,-0.012404257,-0.007278218,-0.395576238,-0.015013366,0.005755446,-0.386912574,-0.015576832,-0.000912376,-0.417759505,-0.018641188,0.005462376,-0.382029208,-0.013108416,-0.000810297,-0.377932574,-0.015074257,0.002853267,-0.372692079,-0.015527129,0.002915347,-0.345555743,-0.013069307,-0.009350297,-0.333954356,-0.012719406,0.004782376,-0.348403564,-0.011415644,0.007570891,-0.322266337,-0.010893663,-0.000700891,-0.332835842,-0.011332376,0.001588614,-0.32190703,-0.010109406,0.008013663,-0.381267327,-0.013700891,0.016327327,-0.36703,-0.013433861,0.008870792,-0.412526337,-0.01314099,-0.012065347,-0.401841188,-0.016753861,0.020111683,-0.382745644,-0.012380594,0.001288911,-0.377756634,-0.010762871,-0.000754851,-0.378386634,-0.012616535,-0.006133366,-0.347666337,-0.012209604,0.008613465,-0.36474,-0.011654752,0.005695545,-0.347337228,-0.011862178,0.003588416,-0.35331505,-0.010470099,0.00099396,-0.377505842,-0.009910396,0.007088317,-0.363153762,-0.011483564,0.001006337,-0.359478812,-0.010985347,0.017863861,-0.364214356,-0.010909901,0.009724356,-0.268175743,-0.009482871,-0.003771683,-0.275839109,-0.008706139,0.004402772,-0.271903762,-0.009997129,-0.000852376,-0.351604752,-0.008983069,-0.000928317,-0.336009901,-0.008799802,0.004898812,-0.33019802,-0.008541782,0.010342475
