Gait cycle [%],Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt
 ,POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º],POST(-)/ANT(+) [º],ER(-)/IR(+) [º],DOWN(-)/UP(+) [º]
1,-3.34282,6.67255,8.56819,-3.92325,4.81756,7.85247,-4.47104,6.20653,8.21896,-4.51154,4.82803,6.88949,-5.07465,5.08198,6.39055,-4.00276,3.61398,7.62449,-3.95652,3.69162,7.64027,-4.78977,2.39909,6.54423,-5.01638,3.90182,6.66188,-4.89731,4.22161,6.58842,-4.77042,5.803,5.68102,-3.60669,7.32618,4.818,-4.67619,4.74726,7.35013,-4.38665,3.95849,6.52692,-4.73758,4.06621,6.99596,-4.92415,5.42009,5.68473,-4.88214,4.05251,6.92132,-4.58681,2.34792,6.51823,-4.33525,5.09886,7.25591,-4.99918,4.11457,6.66415,-4.28329,5.53637,6.58451,-4.10344,3.77087,6.38063,-5.28164,4.83115,5.31242,-3.99331,7.02457,6.27337,-3.9902,5.00854,6.60388,-4.07136,4.18564,6.96959,-3.92902,6.69105,6.40377,-4.60267,4.83794,6.13592,-4.19494,2.32808,6.98563,-4.255,4.97844,7.20901,-4.39634,2.26413,7.07164,-3.3388,2.93519,7.32598,-4.03521,3.96261,6.83666,-4.87731,4.58927,6.54111,-4.30588,4.53007,6.55165,-4.56444,3.31649,7.18954
2,-3.25545,6.81644,8.47072,-3.90407,4.93937,7.69165,-4.42271,6.26095,8.14863,-4.46904,4.88867,6.70127,-5.03793,5.28453,6.29422,-3.92978,3.78557,7.50912,-3.91277,3.84173,7.5895,-4.74707,2.63034,6.5032,-4.96908,3.95596,6.52362,-4.86803,4.31266,6.50352,-4.71962,5.93462,5.58317,-3.60302,7.37318,4.713,-4.64666,4.92344,7.40692,-4.37661,4.07556,6.50985,-4.70814,4.16478,6.89277,-4.90563,5.55424,5.64373,-4.88326,4.23575,6.86782,-4.54211,2.51689,6.53619,-4.32931,5.22315,7.18542,-5.00989,4.16957,6.58405,-4.29792,5.64134,6.47396,-4.13397,3.84813,6.31375,-5.26759,5.04922,5.24736,-4.00052,7.20819,6.20173,-4.02076,5.23406,6.6011,-4.07541,4.40513,6.87081,-3.91266,6.79339,6.31463,-4.58462,4.97975,6.10803,-4.18153,2.62638,6.96592,-4.21145,5.11932,7.14527,-4.35087,2.40874,7.05486,-3.32086,3.23609,7.30487,-4.05979,4.18176,6.81468,-4.86976,4.81748,6.43528,-4.31427,4.80799,6.54154,-4.56743,3.5298,7.11457
3,-3.13753,6.93112,8.35127,-3.86274,5.04163,7.50956,-4.34986,6.29326,8.06214,-4.39923,4.92433,6.49451,-4.97123,5.4465,6.1829,-3.83635,3.94913,7.37885,-3.83681,3.96774,7.50284,-4.68191,2.84565,6.43626,-4.88475,3.97203,6.3561,-4.81147,4.35037,6.40396,-4.64486,6.04318,5.46913,-3.59366,7.39,4.58786,-4.5787,5.07687,7.42952,-4.34104,4.20153,6.47313,-4.64152,4.25215,6.75729,-4.86657,5.6573,5.58895,-4.8577,4.39988,6.8003,-4.4799,2.67777,6.54438,-4.30813,5.34788,7.09298,-5.00665,4.21861,6.49819,-4.29766,5.73157,6.34208,-4.14921,3.90139,6.23208,-5.23398,5.24101,5.16573,-3.98823,7.38109,6.10692,-4.03269,5.45133,6.58561,-4.06064,4.62525,6.74409,-3.87824,6.85232,6.19951,-4.54984,5.11007,6.05205,-4.14045,2.88919,6.92697,-4.15953,5.24228,7.07205,-4.27689,2.52664,7.02839,-3.28593,3.5381,7.26641,-4.0748,4.39981,6.78094,-4.84608,5.04043,6.31987,-4.30993,5.0733,6.52648,-4.54989,3.73371,7.04798
4,-2.9881,7.00678,8.21028,-3.79522,5.11928,7.30651,-4.25409,6.30485,7.96205,-4.30628,4.93868,6.2766,-4.87633,5.56596,6.05751,-3.72437,4.10033,7.23735,-3.72603,4.06213,7.37706,-4.59379,3.03713,6.3379,-4.76494,3.94776,6.16469,-4.72691,4.33417,6.28093,-4.54588,6.12693,5.33777,-3.57754,7.37613,4.43992,-4.47304,5.19976,7.40677,-4.27784,4.32831,6.40932,-4.53607,4.32279,6.58866,-4.80097,5.72275,5.5078,-4.80113,4.5345,6.71154,-4.39625,2.81909,6.52803,-4.26772,5.4662,6.96984,-4.99015,4.25728,6.39786,-4.27893,5.80015,6.18671,-4.14875,3.92964,6.12909,-5.17869,5.39667,5.06221,-3.9507,7.53588,5.98341,-4.02198,5.6503,6.55035,-4.02237,4.83796,6.58765,-3.82093,6.86291,6.04555,-4.49678,5.22061,5.96738,-4.0662,3.10457,6.86126,-4.09656,5.34283,6.97693,-4.17681,2.61197,6.98108,-3.22986,3.82377,7.20508,-4.07738,4.60426,6.72658,-4.80162,5.24694,6.18839,-4.2878,5.31244,6.5006,-4.51092,3.9197,6.98345
5,-2.8094,7.03977,8.05005,-3.70081,5.17,7.0857,-4.13925,6.29903,7.85333,-4.19782,4.93824,6.05766,-4.75865,5.64526,5.92226,-3.5982,4.23618,7.09073,-3.5823,4.12301,7.21396,-4.48621,3.20056,6.20622,-4.61711,3.88953,5.95819,-4.61797,4.27119,6.12977,-4.42604,6.18712,5.1918,-3.55431,7.33399,4.26943,-4.33455,5.28843,7.33224,-4.18662,4.44641,6.31407,-4.39501,4.37415,6.38947,-4.70662,5.75039,5.39261,-4.7131,4.63313,6.5968,-4.28936,2.93166,6.47514,-4.20524,5.57095,6.80974,-4.96289,4.28432,6.27771,-4.24007,5.84216,6.00819,-4.13353,3.93624,6.00254,-5.10283,5.51047,4.93371,-3.88539,7.66606,5.8284,-3.98827,5.8224,6.48979,-3.95872,5.0354,6.40249,-3.73822,6.82665,5.84552,-4.42624,5.30201,5.85512,-3.9584,3.26604,6.76446,-4.02136,5.41877,6.8499,-4.05666,2.66449,6.90415,-3.15045,4.07626,7.11604,-4.06562,4.78325,6.64542,-4.73362,5.42791,6.03577,-4.24433,5.512,6.45875,-4.45201,4.08173,6.91269
6,-2.60694,7.03479,7.8758,-3.5827,5.19594,6.8542,-4.01137,6.28088,7.74307,-4.08413,4.93154,5.8496,-4.62734,5.69098,5.78459,-3.46454,4.35539,6.94735,-3.41248,4.15515,7.02157,-4.36629,3.33698,6.04453,-4.45454,3.81224,5.74883,-4.49256,4.17625,5.95153,-4.29236,6.22779,5.03765,-3.52482,7.26904,4.08015,-4.17225,5.34456,7.2066,-4.06967,4.54688,6.1868,-4.22647,4.40902,6.16661,-4.5865,5.74809,5.24329,-4.59849,4.6957,6.45504,-4.16129,3.01111,6.3786,-4.12008,5.65717,6.61062,-4.92844,4.30252,6.13766,-4.18209,5.85674,5.81015,-4.10546,3.92913,5.85539,-5.01059,5.58324,4.78139,-3.79416,7.76809,5.64318,-3.93538,5.96305,6.40157,-3.87133,5.21217,6.19251,-3.63185,6.7533,5.60086,-4.34242,5.3473,5.7183,-3.82259,3.37482,6.63723,-3.93519,5.47134,6.68528,-3.92548,2.69002,6.79383,-3.04915,4.28361,6.99685,-4.0392,4.92882,6.53619,-4.64272,5.57943,5.85959,-4.1788,5.6617,6.39784,-4.37769,4.21797,6.82737
7,-2.38918,7.00459,7.69632,-3.44774,5.20465,6.62272,-3.87839,6.25657,7.63985,-3.97701,4.92768,5.66486,-4.49467,5.71258,5.65468,-3.33209,4.45813,6.81712,-3.22793,4.1694,6.81432,-4.24333,3.45255,5.86197,-4.29458,3.73653,5.55162,-4.36183,4.07003,5.75352,-4.15495,6.25509,4.88519,-3.49137,7.18952,3.8794,-3.99789,5.37498,7.03913,-3.93262,4.62409,6.03106,-4.04289,4.43612,5.93171,-4.44891,5.73139,5.06907,-4.46795,4.72925,6.28986,-4.01876,3.05974,6.2381,-4.01509,5.72456,6.37608,-4.89012,4.31813,5.98398,-4.109,5.84804,5.59996,-4.06694,3.91989,5.69603,-4.90857,5.62355,4.6121,-3.68344,7.84287,5.43444,-3.87024,6.07333,6.28796,-3.76528,5.36723,5.96477,-3.50851,6.66087,5.32326,-4.25316,5.35554,5.56255,-3.66989,3.44039,6.48632,-3.84179,5.50612,6.48376,-3.79398,2.69926,6.65355,-2.93157,4.44217,6.8488,-3.9998,5.03965,6.40353,-4.53363,5.70506,5.66189,-4.09404,5.75754,6.31829,-4.29545,4.3321,6.72197
8,-2.16704,6.96681,7.5239,-3.30555,5.20801,6.40519,-3.74963,6.23238,7.55292,-3.88805,4.93459,5.51526,-4.37467,5.72069,5.54431,-3.21087,4.54535,6.71059,-3.04294,4.1807,6.6118,-4.12673,3.55701,5.67317,-4.1562,3.68402,5.38269,-4.23833,3.9755,5.5489,-4.02584,6.27581,4.74636,-3.45768,7.10554,3.67761,-3.82387,5.39002,6.8477,-3.78424,4.67793,5.85484,-3.8594,4.4685,5.70059,-4.30595,5.72105,4.88798,-4.33626,4.74675,6.1102,-3.87283,3.08606,6.06141,-3.89629,5.77829,6.11632,-4.85003,4.33915,5.82864,-4.02735,5.82485,5.38854,-4.0207,3.92185,5.5371,-4.80428,5.64657,4.43835,-3.56329,7.89611,5.21458,-3.80116,6.16025,6.15664,-3.6483,5.50478,5.72952,-3.37915,6.57321,5.03404,-4.16892,5.33354,5.39655,-3.51543,3.47876,6.32427,-3.74662,5.53294,6.25312,-3.6721,2.70521,6.49467,-2.80655,4.55792,6.67813,-3.95111,5.12175,6.25807,-4.41492,5.81585,5.45027,-3.99638,5.80345,6.22444,-4.21416,4.43288,6.5961
9,-1.95326,6.93931,7.37304,-3.16756,5.21968,6.21714,-3.63486,6.21351,7.49117,-3.82697,4.95754,5.41053,-4.28127,5.72501,5.46546,-3.11124,4.61802,6.63758,-2.87293,4.20484,6.43606,-4.02487,3.66066,5.49633,-4.05707,3.6721,5.25715,-4.13429,3.9136,5.35456,-3.9172,6.29588,4.63366,-3.42855,7.02791,3.48723,-3.66136,5.40074,6.65667,-3.63555,4.71456,5.66994,-3.69175,4.52038,5.4914,-4.17161,5.73869,4.72422,-4.22,4.76384,5.92968,-3.73746,3.10271,5.8645,-3.77228,5.82804,5.84768,-4.80901,4.37309,5.68765,-3.94564,5.79857,5.18939,-3.97021,3.94754,5.39382,-4.705,5.67077,4.27699,-3.44552,7.93706,5.00094,-3.73569,6.23518,6.02014,-3.5291,5.63344,5.5,-3.2571,6.51545,4.76082,-4.10066,5.29507,5.23213,-3.37583,3.50914,6.16823,-3.65568,5.56468,6.00806,-3.56714,2.71996,6.33528,-2.68472,4.64445,6.49625,-3.89863,5.1867,6.11507,-4.29783,5.92794,5.23813,-3.89488,5.81125,6.12506,-4.14234,4.53222,6.45606
